experiment,run_name,sampler,elapsed_sec,budget_per_sample,total_reward_evals,forward_passes,fp_per_sample,validity,uniqueness,qed_mean,qed_top10,qed_max,num_samples,beam_width,branching_factor,steps_per_interval,elite_buffer_size,diversity_penalty,diversity_cutoff,c_uct,rollout_budget_per_sample,softmax_temp,randomness,min_add_len,seed,reward_type,reward_alpha
hp_sweep,beam_B50_N50_L8_t05,beam_search,47.09820032119751,56.0,2800,75600,1512.0,0.04,1.0,0.9480127807605674,0.9480127807605674,0.9480127807605674,50,50,8,8,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N50_L8_t08,beam_search,75.92078232765198,48.0,2400,62400,1248.0,0.12,1.0,0.9479942763225654,0.9481885248476654,0.9481885248476654,50,50,8,8,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N5_L2_t05,beam_search,59.762333154678345,46.0,2300,55200,1104.0,1.0,1.0,0.75868748008909,0.9441918155687098,0.9465888370704156,50,5,2,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N5_L2_t08,beam_search,163.38342690467834,42.0,2100,44100,882.0,1.0,1.0,0.6814838793931729,0.9119227040123485,0.9219595409406428,50,5,2,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N5_L4_t05,beam_search,225.27905797958374,56.0,2800,81200,1624.0,1.0,1.0,0.8452446272728428,0.9425789650886189,0.9441080485839992,50,5,4,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N5_L4_t08,beam_search,41.695218324661255,44.0,2200,46200,924.0,1.0,1.0,0.700589037017988,0.946769903794239,0.946769903794239,50,5,4,4,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N5_L8_t05,beam_search,50.073381185531616,48.0,2400,62400,1248.0,1.0,1.0,0.7880737291086488,0.9470807884493693,0.94741258623889,50,5,8,8,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N5_L8_t08,beam_search,51.07803750038147,48.0,2400,60000,1200.0,1.0,1.0,0.6912268239305526,0.8153633514094614,0.9456149261918835,50,5,8,8,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_div01_B100_N10_L4_t08,beam_search,128.18255281448364,112.0,5600,156800,3136.0,1.0,1.0,0.9374318642265151,0.9479066581730231,0.9480344141489615,50,10,4,2,50,0.1,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_div01_B100_N10_L8_t08,beam_search,126.36225008964539,80.0,4000,88000,1760.0,0.92,1.0,0.6691901149200542,0.9016286497761454,0.9290788227759301,50,10,8,4,50,0.1,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_div01_B100_N50_L4_t08,beam_search,56.10022759437561,80.0,4000,84000,1680.0,0.66,1.0,0.9458502267703759,0.9479230456305644,0.9479230456305644,50,50,4,2,50,0.1,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_div01_B100_N50_L8_t08,beam_search,95.46546053886414,104.0,5200,130000,2600.0,0.28,1.0,0.9462987361458046,0.946572391313461,0.946572391313461,50,50,8,4,50,0.1,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_div01_B20_N10_L4_t08,beam_search,17.27423906326294,16.0,800,20000,400.0,1.0,1.0,0.6568375109263647,0.9421584825891607,0.9429464837102819,50,10,4,10,50,0.1,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_div01_B20_N10_L8_t08,beam_search,31.359671354293823,24.0,1200,26400,528.0,0.86,1.0,0.8302003452729866,0.947893550795942,0.947893550795942,50,10,8,20,50,0.1,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_div01_B20_N50_L4_t08,beam_search,32.126964807510376,20.0,1000,27000,540.0,0.82,1.0,0.9382340704105353,0.9475636041913926,0.9478961981851824,50,50,4,10,50,0.1,,,,0.8,0.5,40,0,none,0.0
